id,walk_m,straight_line_m,routing_penalty_m,routing_method
08f26567ada364b2030ed8fa9d37225b,21.7,26.37,0.0,osrm
08f29a56ce2e96e1033dbdf3c9f9851a,7.9,10.52,0.0,osrm
08f489c1702da9260387da387b8bc75a,23.0,23.07,0.0,osrm
08f489d52634302c03a26dca8bb16d7d,42.5,26.39,16.11,osrm
08f44c3a03ae5575038dd94496424dd9,14.8,21.97,0.0,osrm
08f44c3a2ad40a46031b11ab25c69184,203.8,21.97,181.83,osrm
08f441318441b42a0327110215dfab9f,18.1,25.05,0.0,osrm
08f2ad0b586b64e903e19a4ca23b651f,1.5,25.14,0.0,osrm
08f2ad03550ec761038b707d343a6f2d,21.2,21.9,0.0,osrm
08f2b8e64855057603b04cc4cf4e9a3c,10.4,19.04,0.0,osrm
08f2af293369842a03bc2e7db6661325,83.9,16.91,66.99,osrm
08f269620d3b5b5e03651884df8fe4e3,7.2,20.18,0.0,osrm
08f268cccb54c54d0377d52348621419,7.9,23.55,0.0,osrm
08f268ccf6593846036858798ec81a10,148.3,23.51,124.79,osrm
08f489c458d5bc9c0392b094d48acbb7,42.6,29.45,13.15,osrm
08f2a100d2c430f503c953f3080da956,16.1,20.07,0.0,osrm
08f2b8914812b3b60323f8dc807a49b5,31.4,19.48,11.92,osrm
08f29b6d1850a1b103ec52a03b37d9a9,21.9,21.87,0.03,osrm
08f446dd36b8b32a03ce7971405131a4,8.7,22.99,0.0,osrm
08f446c35c774b8c0371b7129f98a492,48.2,29.37,18.83,osrm
08f2a30d5a26150a0349777364b3bf51,6.7,12.87,0.0,osrm
08f2aa8ccdd28c2e031e4c9e3330f1d1,12.4,20.54,0.0,osrm
08f26ecb8951e2140303bf434d987c4b,20.7,24.32,0.0,osrm
08f279a0d2a9ace503c8225af210ef6a,9.9,18.64,0.0,osrm
08f2a3028b61c5b20326d4336f5968a9,4.1,22.57,0.0,osrm
08f2a3286a8c460603917d5a10809fea,20.6,19.42,1.18,osrm
08f44c120325b89603c19a1107767de3,25.4,25.26,0.14,osrm
08f44a13947518d603b72a395228befa,0.0,30.44,0.0,osrm
08f44c122842a0ac034887658d7beeb9,14.8,21.95,0.0,osrm
08f2a304458cb501037f69380780cad1,385.0,24.91,360.09,osrm
08f44a100b24e1a00333315b7caf4958,42.5,30.48,12.02,osrm
08f283046b76105c03d398e539d86865,33.5,20.76,12.74,osrm
08f26ddb2565628c03162af8a8c0bf22,50.2,23.18,27.02,osrm
08f489c45eca24930337a26c2913108f,68.5,26.48,42.02,osrm
08f2830881d9c4a403bed91e213c1381,13.9,20.91,0.0,osrm
08f26283a55ae216030b3788795a7481,54.1,22.24,31.86,osrm
08f28b2a9dc0d11c03dc24d11ec7cfe3,61.7,22.33,39.37,osrm
08f29a0b22cb577503ffab4bc7cd7f1d,62.6,25.37,37.23,osrm
08f2662cf098511303e9ff30fbdecaf8,20.4,20.1,0.3,osrm
08f44ae853a9ec4a030413c1cdcb4f3b,70.9,30.29,40.61,osrm
08f260d8020a6b35036a66d8a9da1475,35.5,22.79,12.71,osrm
08f2a306546c6b09033e2b8628c0a096,32.9,19.57,13.33,osrm
08f2a9070cc5346b038bf1bdb76c8dbc,3.0,20.3,0.0,osrm
08f44a184276e6a60364e66d2e3f7fd9,115.4,27.47,87.93,osrm
08f489e3548d03030368c658b146730c,40.3,18.23,22.07,osrm
08f44a8cf3a5dd70037d5eb2c246b627,23.1,23.51,0.0,osrm
08f2830bb505d61003abbd6320b93d76,16.1,20.88,0.0,osrm
08f2a13a9b6a4a2c0305cb28c7a244c2,35.9,23.44,12.46,osrm
08f283045b0eaa2503db6cc0465e89d3,20.7,20.74,0.0,osrm
08f2aacb1caa3c7303b46ea73872f5e9,45.4,23.39,22.01,osrm
08f26c860554b56803164d24388f2731,20.2,22.22,0.0,osrm
08f2ad30902cd0d803f62decc3570819,13.0,13.24,0.0,osrm
08f264ab1318032303ad234d707ae6bf,328.1,34.56,293.54,osrm
08f29a1d96db625b03b532d7bb0d90c2,70.9,25.24,45.66,osrm
08f2aae92020241803878966080d3ceb,61.8,25.88,35.92,osrm
08f26c5573530d41039eec9ad3060222,21.8,21.32,0.48,osrm
08f2912798c659a3033bd236b2c3c801,24.1,25.19,0.0,osrm
08f2aa858c02575d03761a5b6e3c2964,18.0,20.54,0.0,osrm
08f48981360c349403c80ceff2683b6b,50.0,22.83,27.17,osrm
08f44ae8e516e064032c83e9ccb7e60d,23.4,23.67,0.0,osrm
08f29b6c2eb90cd603521d634f27df00,12.8,25.38,0.0,osrm
08f489c4ed90b4e1038fbaac533c3c06,16.8,22.8,0.0,osrm
08f44d8d8dd892d203baec2b0cd7f605,14.4,25.06,0.0,osrm
08f48eb32939ac2103c112038e7160c3,639.4,28.25,611.15,osrm
08f489c85a292422038343eb5e9cb8bc,15.5,22.88,0.0,osrm
08f2ab357071dcd403f2ec08e2e48817,55.7,22.86,32.84,osrm
08f4649589d05a4003d89cadf70517a8,22.5,24.44,0.0,osrm
08f44eb1b5713a6e03840527c681f857,3.8,21.96,0.0,osrm
08f28f0334176af50374635d3a065495,12.0,18.53,0.0,osrm
08f489c0350ecc7203ca66bcacd84837,2.9,23.06,0.0,osrm
08f2a107668504de032f03ba2a65c5a8,52.0,20.1,31.9,osrm
08f29aa8598c30c8036a46cc74b69dcb,22.9,24.51,0.0,osrm
08f264b6830cb42403b9982c9b28649c,20.3,21.89,0.0,osrm
08f26cb9a5a9bb63037d9021f18928d8,19.4,22.27,0.0,osrm
08f26623aa1ad7980349f228fbc3a32d,113.7,20.08,93.62,osrm
08f2699518a2d731030d61df2fa01098,0.0,21.07,0.0,osrm
08f2832ba2b42aaa03b8347ed8e68dfa,213.8,23.83,189.97,osrm
08f26c820b29a90603e92ad23d25e4ee,1877.2,25.59,1851.61,osrm
08f446c036375536037a6e82ce706414,6478.5,26.51,6451.99,osrm
08f44d071b58a00403e9419f27fabdf5,15.7,22.27,0.0,osrm
08f298cb02d756e003246b5863f62d32,152.2,24.15,128.05,osrm
08f264158256468b031546c1ed3f394b,0.7,24.13,0.0,osrm
08f441305256450603596e4dfefc80fb,727.3,23.49,703.81,osrm
08f44a98ec5950e40387ceaf1b69f247,64.4,23.12,41.28,osrm
08f2830c2d050bb103e4a561046dc405,18.6,20.72,0.0,osrm
08f48e85636b3cea03caf2637e450f20,10.4,22.41,0.0,osrm
08f44ea494b8924c035a27c9c0c11bef,109.2,25.46,83.74,osrm
08f2a1a4b496dcd303abc27c49df82d7,8.1,20.59,0.0,osrm
08f2ad6946d62a6103808bbd2cd3c031,82.5,27.55,54.95,osrm
08f2751a1426e68d03d4e5d6c7d97144,10.6,21.59,0.0,osrm
08f264620c6d462503efe86fc222ba15,32.8,29.81,2.99,osrm
08f2a33663394cdb03140d02d45ac844,34.5,19.68,14.82,osrm
08f26c82d56f5b9303c8d5ac1586d26a,23.2,32.08,0.0,osrm
